index,product,category,sub_category,brand,sale_price,market_price,type,rating,description,rating_clean
618,Nilgiris Green Tea - Zoho Lemongrass,Beverages,Tea,Teamonk,200.0,400.0,Exotic & Flavoured Tea,5.0,"How would you appreciate the peerless taste of tea for your senses- by perceiving and savoring its flavour in every single sip, as though you simply found a hidden treasure. In Zen speak, Zoho is synonymous to treasure, and what could be a better way to demonstrate this than our Zoho Lemongrass Green Tea? Lemongrass has a sensitive, botanical rose-like scent blended with a new and verdant smell, and has high range of oxidant properties. Reviving lemongrass with its profundity of flavour wakes up when converged with our fine loose leaf green tea from Nilgiris. This citrusy, reviving green tea with hints of lemon has a fragile scent coverted with a lush fragrance, that leaves you rejuvenated.",5.0
717,"Deccan Gold - Premium Filter Coffee, 80:20 Blend",Beverages,Coffee,PRISTINE,100.0,120.0,Ground Coffee,4.3,"Pristine Deccan Gold Filter Coffee are carefully combined and roasted to offer the full, rich savour and aroma. This is using superiority coffee beans under complete hygienic conditions. It is a wonderful blend of colour, savour and strength which is also first-class for your health. It has a different flavour that satisfies the most discerning coffee drinker. It is a delicate light to medium roast coffee. It completed from the highest quality of coffee beans.",4.3
736,Nilgiris Green Teabags - Anicca Chamomile,Beverages,Tea,Teamonk,297.5,425.0,Green Tea,5.0,"The true thing about permanence is its impermanence. Except for our Anicca Chamomile Green Tea, whose taste and aroma, remain perpetual, no matter what. Tender leaves and buds, handpicked by nimble experienced fingers from selected bushes of the estate in Nilgiris, undergo a unique process of roasting and drying that is specially employed to craft this semi-fermented tea. They are then mixed with chamomile flowers where they impart their fragrance to green tea leaves.",5.0
769,"Green Tea - Tulsi, Good Morning",Beverages,Tea,Wagh Bakri,75.0,150.0,Green Tea,,"Tulsi, popularly known as Queen of Herbs, is the most sacred herb in India. It is infused with great heating power. Tulsi has recognized for its high medicinal properties and has found it useful in treating cough, cold and vocal disorders. Prepared by master tea blenders and tasters at Wagh Bakri Tea Group, the unique blend of Tulsi and green tea boosts health and well-being round the year.",
796,Ratnagiri Alphonso,Beverages,Fruit Juices & Drinks,B Natural,114.0,120.0,Juices,,The new B Natural Transparent Range presents the most authentic indulgence of Mango. The Alphonso Mango is sourced from Ratnagiri to provide the best mango experience and the goodness of B Natural's new range of bottled beverages. And what's more? This beverage is made from 100% Indian fruits and not from concentrate.,
814,100% Green Tea,Beverages,Tea,Sprig Tea,141.55,149.0,Green Tea,3.8,"Energise & jumpstart your metabolism with green tea.
Scores of studies have indicated that green tea leaves can promote a healthy metabolism. This is vital to keep your energy levels up and cope with the stress of a typical workday. Our uplifting, 100% pure green tea supplies an abundance of anti-oxidants. These in turn, eliminate damaging free radicals in the body and help essential metabolic pathways perform optimally. Energise is an excellent tonic for a tired body and mind. Tea is crafted from tender green tea leaves with nothing else added. Hit refresh with a piping hot cup of Tea or enjoy it in a tall glass with ice and a twist of lime.",3.8
835,Fruit Juice - Mango Delight,Beverages,Fruit Juices & Drinks,Tropicana,164.0,200.0,Juices,,"Enjoy the refreshing and delicious taste of mangoes!
A special 6-layer protection gives you the goodness of tasty, ready to serve fruit beverage in every glass of Tropicana.
Did You Know?
Mango, believed to have originated in the sub-Himalayan plains of the Indian subcontinent, is a member of the cashew family of flowering plants & one of the good source of potassium among fruits.",
846,Squash - Sarasaparilla/Nannari/Sugandhi Root,Beverages,Fruit Juices & Drinks,NaturoBell,140.0,140.0,Syrups & Concentrates,2.5,,2.5
852,Green Tea - Jasmine,Beverages,Tea,Typhoo,166.0,195.0,Green Tea,3.9,"This light, refreshing tea with a sweet fragrance of jasmine is a fragile favourite. The mesmerisingly tasty and breezy Green Tea Jasmine that is ideal for your calming moments. Take a sip and let the floral flavor serenade your taste buds with its cleanness. Enjoy served with no milk.",3.9
1025,Fizz Classic Cola - Guilt-Free Soft Drink With Zero Sugar & No Preservatives,Beverages,Energy & Soft Drinks,Shunya,60.0,60.0,Cold Drinks,3.8,"We got rid of all the bad, but kept all the fizz and flavour. Every can of Shunya Fizz Classic Cola gives you the unbeatable flavour of Cola with unbelievable goodness. It’s guilt-free fizz with 0 calories, 0 sugar and 0 artificial sweeteners. That means no aspartame unlike the other zero-calorie drinks and none of its negative impacts! Being guilt-free also means no preservatives and no artificial flavours. So, every time you’re drinking Shunya Fizz, you know you’re choosing better. We cut out the caffeine and brought in Ashwagandha instead – a super herb that boosts energy and releases stress. To make things better still, every can of Shunya Fizz gives you an immunity boost with a generous dose of antioxidants and a whole lot of Vitamin C (50% of your Recommended Daily Allowance). Shunya Fizz is also clinically proven to be safe for kids and diabetics as it is completely sugar-free and is naturally sweetened with stevia. It fits perfectly into keto diets and vegans can enjoy this fizzy cold drink completely guilt-free too. Love The Taste. Feel The Goodness. Enjoy The Impossible.",3.8
1065,Organics Herbo Protein Powder,Beverages,"Health Drink, Supplement",18 Herbs,300.0,300.0,Men & Women,3.0,"The amazing herb-mucuna pruriens is well known for strengthening vitality & all around beneficial properties. Perhaps it is best known as a potent herbal aphrodisiac. Mucuna pruriens contains high concentrations of l-dopa, a neurotransmitter that prompts positive mental state of action & assertiveness mucuna pruriens powder assists in brain function, libido & supports muscle growth.",3.0
1157,Malgudi Filter Coffee - 60:40,Beverages,Coffee,Continental,80.0,90.0,Ground Coffee,4.0,"Malgudi filter coffee plantation is sourced & processed under conditions to meet the strictest quality standards. Made from traditionally roasted coffee beans, it gives you a strong coffee experience. It is specially packed in freshness seal packs to lock the aroma of the coffee.",4.0
1191,Lite Health & Nutrition Drink - Regular Malt Flavour,Beverages,"Health Drink, Supplement",Horlicks,278.0,298.0,Men & Women,4.2,"Lite Horlicks Malt contains the goodness of malted barley and wheat with zero cholesterol, high protein and no added sugar. Filled with a wide range of key vital nutrients and minerals, it is a complete drink that keeps you going. A glass of Lite Horlicks every morning after breakfast and you are ready to take on the world.",4.2
1201,Green Tea - Long Leaf,Beverages,Tea,Tetley,528.0,660.0,Green Tea,4.2,Tetley Green Tea Pure Original Long Leaf,4.2
1218,Mix - Badam Milk,Beverages,"Health Drink, Supplement",Bambino,105.0,105.0,Men & Women,4.3,Bambino Badam Milk Mix is enrich with saffron and almond flakes,4.3
1281,Sunrise Extra Sachet,Beverages,Coffee,Nescafe ,680.0,680.0,Instant Coffee,4.0,"Nescafe Sunrise Extra Sachet is a refreshing instant coffee. It is made with the blends of 70% coffee and 30% chicory that are slow-roasted to achieve the signature aroma. Awaken your mind and body with the intense taste and wonderfully refreshing aroma of this coffee. This coffee mix is an excellent way to kick start the day. It is easy to make without any hassle. Perfect for everyday use as a part of your balanced lifestyle. It does not contain any added preservatives, colour or artificial flavours.",4.0
1322,Assam Black Tea,Beverages,Tea,Emperia,159.0,159.0,Exotic & Flavoured Tea,4.1,"The Emperia Premium Tea range brings unique flavours to your tea. Our Assam Black Tea is made from the finest tea leaves sourced from the upper hills of the Brahmaputra valley. With a full-bodied, brisk, malty flavour and bright colour, our Premium Assam Tea can be served any time of the day. Tea is one of the most consumed beverages in the world.",4.1
1350,Smartwater,Beverages,Water,Glaceau ,300.0,300.0,Spring Water,4.0,"Introducing SmartWater. Water that is vapour distilled, the way clouds do it, and remineralised with electrolytes. Now that is a crisp, pure taste made smart.",4.0
1411,Fruit Power Juice - Guava/Amrud,Beverages,Fruit Juices & Drinks,Real,178.2,300.0,Juices,,"Blessed with numerous nutrients of nature, the Pink guava is well known for its great taste and numerous health benefits.",
1473,Apple Fruit Juice,Beverages,Fruit Juices & Drinks,Paper Boat,80.0,80.0,Juices,,"‘An apple a day keeps the doctor away’ might just be the main mantra of the Indian parent’s handbook, no? Which kid wasn’t raised with sermons on how one must eat apples for health? It’s a good thing that this biblical fruit is juicy, tasty and fulfilling or else we’d really have a bone to pick with our parents. Growing up we had a family joke, that no matter what time of the day you tell mom you’re hungry she has a standard response, ‘apple khaa lo’. In fact we reached a point where we would ask her just for this automated response and then giggle away to glory. In our household, apples were not just the breakfast fruit, however, because we made warm apple pies and trifle pudding with apple pieces regularly. The unsung hero of fruits, it truly was versatile and is the family’s go-to snack option to this day!",
1485,Thums Up Soft Drink 750 ml + Sprite Soft Drink - Lime Flavoured 750 ml,Beverages,Energy & Soft Drinks,bb Combo,80.0,80.0,Cold Drinks,,"Thums Up Soft Drink 750 ml Bottle
Thums Up has a strong taste packed with a punch of soda has often defined an adventurous aspect of the drinker personality. These people have tasted the thunder and will have it no other way. You can too ride the epic wave of excitement and adventure with Thums Up, anytime, anywhere! The strong taste of Thums Up drink is perfect for when you really want to taste the thunder and bring out the toofani side of yours. Thums Up is among the largest selling soft drinks in the country and has been a favourite among the adventure-inclined youngsters for several decades.
Sprite Soft Drink - Lime Flavoured 750 ml BottleSprite is a clear lime drink truly meant to quench your thirst & refresh you since 1999. Now, do not confuse thirst with anything else under the sky! It is not your agony aunt but just a drink that refreshes you. Be it summers or winters, Sprite will always keep you refreshed. It has true feelings for your thirst. Believe it! Its crisp lemon-lime taste makes you feel like you just stepped out of a cold shower. Clear Hai? You can't drink this refreshing Sprite by just looking at the page so Buy Now!",
1494,Cosmopolitan - Cranberry & Orange,Beverages,Energy & Soft Drinks,&Stirred,50.0,50.0,Soda & Cocktail Mix,4.1,"& Stirred Cocktail Mix is the easiest way to make your favourite cocktail. This Cosmopolitan mix is a classic blend of cranberries, lemon and a dash of orange, which can be added with ice and sipped on as a mocktail or can be served with vodka as a cocktail. They are ideal for serving at parties or a small get together.",4.1
1531,32 Glass Shikanji Nimbupani,Beverages,Fruit Juices & Drinks,Rasna,40.0,40.0,Syrups & Concentrates,3.0,"One Pack makes 32 glass (180ml per glass). Need to add sugar as per requirement. Can be made in 5 seconds. Can be used in making Ice Candies, Jelly, Custard, Mocktails, etc. Enriched with 11vitamins & minerals. Contains Vitamin -D that helps develop strong, healthy bones & teeth.Vitamin - A helps develop body resistance to fight infection.",3.0
1564,Health & Nutritional Drink - Tasty Chocolate Flavour,Beverages,"Health Drink, Supplement",Protinex ,875.0,950.0,Men & Women,4.2,"Protinex Tasty Chocolate is a vegetarian ready-to-serve beverage mix that helps bridge the gap of nutrients from the diet of Indian Adults. Protinex Tasty Chocolate is an adult nutritional drink mix that is clinically proven to provide 34% higher immuno boosters that help build immunity# 1,2. Protinex contains 22 essential vitamins and minerals including 10 immuno nutrients³ that help build immunity, build strength, and provide energy. Protinex consists of nutrients that help in building bone strength, growth & maintenance of muscle mass, improving metabolism, the formation of blood cells, and maintaining fluid & electrolyte balance**. Available in chocolate flavor, Protinex easily makes its place in your everyday diet plan, and with zero added sugar* and low fat, it is suitable for daily consumption. It can be taken with milk or water.",4.2
1603,Aloevera Litchi Ice Tea,Beverages,Tea,Wagh Bakri,90.0,90.0,Leaf & Dust Tea,3.0,"For centuries, Aloe Vera has been known to have many medicinal benefits whereas Litchi is known to be everyone's favourite choice of fruit. Presenting a unique combination of Aloe Vera, Litchi and Green Tea in a never seen before avatar. Simply stir the premix with cold water to relish refreshing new flavour.",3.0
1666,Green Tea - Japanese Vanilla Matcha Powder,Beverages,Tea,VAHDAM,349.3,499.0,Green Tea,4.1,"Our Tea virtuosos have brought you an incredibly tasty and purposeful blend that packs a perfect symphony of unmatched freshness, the creamy Vanilla flavour, and earthy goodness! The brewed liquor is a full-bodied and velvety one. It boasts of a lush creamy aroma with humbling earthy notes in the background of the stone-ground Japanese Matcha tea. The liquor starts out on a robust yet enchanting creamy, nutty flavour of the premium Madagascar vanilla which engulfs you from the first sip. The luscious vanilla flavour is met with fresh vegetal notes in the middle which stay throughout the cup. Enjoy this utterly appetizing cup, any time of the day in the form of a hot brew or a refreshing smoothie.",4.1
1823,Nilgiris White Teabags - Sei,Beverages,Tea,Teamonk,387.5,775.0,Exotic & Flavoured Tea,,"Rare is the combination of beauty and purity, and our Sei White Tea is one of those rare clones. Meaning Purity in Zen philosophy, it reflects cleanliness and purity in the physical and the spiritual, along with beautiful curled leaves. Carefully picked as a leaf and a bud from the top section of the plant, the leaves undergo minimal processing. The resultant brew is a light white liquor with undertones of vegetal aroma.",
1914,100 % Mixed Fruit Juice,Beverages,Fruit Juices & Drinks,Real Activ,108.0,135.0,"Unsweetened, Cold Press",4.0,"Mixed fruit, 100 % recontituted Juice content",4.0
1948,Fizz - Lime Lemon Classic Cola 300 ml + Fizz - Lime Lemon 300 ml,Beverages,Energy & Soft Drinks,Shunya,120.0,120.0,Cold Drinks,,"Shunya Fizz Lime & Lemon - Guilt-Free Soft Drink With Zero Sugar & No Preservatives 300 ml CanWe got rid of all the bad but kept all the fizz and flavour. Every can of Shunya Fizz Lime & Lemon gives you the unbeatable flavour of citrus with unbelievable goodness. It’s guilt-free fizz with 0 calories, 0 sugar and 0 artificial sweeteners. That means no aspartame unlike the other zero-calorie drinks and none of its negative impacts! Being guilt-free also means no preservatives and no artificial flavours. So, every time you’re drinking Shunya Fizz, you know you’re choosing better. We supercharged our drinks with Green Tea that helps improve your metabolism. To make things better still, every can of Shunya Fizz gives you an immunity boost with a generous dose of antioxidants and a whole lot of Vitamin C (50% of your Recommended Daily Allowance). Shunya Fizz is also clinically proven to be safe for kids and diabetics as it is completely sugar-free and is naturally sweetened with stevia. It fits perfectly into keto diets and vegans can enjoy this fizzy cold drink completely guilt-free too. Love the taste. Feel the goodness. Enjoy the impossible.Shunya Fizz Classic Cola - Guilt-Free Soft Drink With Zero Sugar & No Preservatives 300 ml CanWe got rid of all the bad, but kept all the fizz and flavour. Every can of Shunya Fizz Classic Cola gives you the unbeatable flavour of Cola with unbelievable goodness. It’s guilt-free fizz with 0 calories, 0 sugar and 0 artificial sweeteners. That means no aspartame unlike the other zero-calorie drinks and none of its negative impacts! Being guilt-free also means no preservatives and no artificial flavours. So, every time you’re drinking Shunya Fizz, you know you’re choosing better. We cut out the caffeine and brought in Ashwagandha instead – a super herb that boosts energy and releases stress. To make things better still, every can of Shunya Fizz gives you an immunity boost with a generous dose of antioxidants and a whole lot of Vitamin C (50% of your Recommended Daily Allowance). Shunya Fizz is also clinically proven to be safe for kids and diabetics as it is completely sugar-free and is naturally sweetened with stevia. It fits perfectly into keto diets and vegans can enjoy this fizzy cold drink completely guilt-free too. Love The Taste. Feel The Goodness. Enjoy The Impossible.",
1962,Mountain Dew,Beverages,Energy & Soft Drinks,Mountain Dew,35.2,40.0,Cold Drinks,4.4,"Mountain Dew exhilarates like no other because of its active, high-energy, extreme citrus taste. The idea of daring, challenges, a â€˜can doâ€™ attitude, adventure and exhilaration are deeply entrenched in its brand DNA. Mountain Dew has always celebrated the bold, adventurous and rebellious spirit of youth.",4.4
1967,Health Drink Cookies & Cream 400g + Nutritional Powder Premium Chocolate 400g,Beverages,"Health Drink, Supplement",Pediasure,1040.0,1040.0,Children (2-5 Yrs),,"PediaSure is a complete and balanced nutrition supplement for children of the age group, 2 years and above. It has a perfect blend of 37 vital nutrients and is scientifically designed for fussy eaters, to take care of any nutritional deficiencies and to help support their overall growth and development. PediaSure enjoys the trust of mothers and doctors in more than 80 countries around the world. Pediasure contains growth nutrients like carbohydrates, protein, calcium, vitamin D, B complex vitamins and milk protein to help support height and weight gain, immunity, and brain development. Pediasure is the number 1 paediatrician prescribed brand, scientifically shown to support healthy growth and development. It contains immune nutrients like vitamin C, E, zinc, selenium, copper to help support immunity.
Pediasure Premium Chocolate Is A Most Important Moms Care Product And A Complete And Balanced Nutrition Diet For Your Small Choosy Eater. It Is A Strong Blend Of Prebiotics And Probiotics That Make Stronger Your Child'S Immunity. It Is A Systematically Planned Formula With 37 Vital Nutrients, Which Gives Complete And Balanced Nutrition For Children 2 Years And Above.",
1985,Kamikaze Shots,Beverages,Energy & Soft Drinks,&Stirred,250.0,250.0,Soda & Cocktail Mix,4.1,"Make amazing cocktails and mocktails at home with this amazing cocktail mix from &Stirred. Made with premium ingredients, now make cocktails like a pro with mix and enjoy with your loved ones.",4.1
2039,Green Coffee,Beverages,Coffee,Jayanthi Coffee,200.0,200.0,Ground Coffee,,"Get the long-lasting health with the world's healthiest coarsely ground coffee To be healthy, one needs to exercise regularly along with a balanced diet and a natural source should be preferred to stay on track. These naturally grown coffee beans, however, helps in optimising the daily weight management regime.",
2177,Assam Tea,Beverages,Tea,Twinings,625.0,625.0,Tea Bags,4.8,"Assam is one of the finest teas in the world. The deep-amber colour and bold taste ensure that it is the perfect companion  throughout the day. There are only two places in the world where tea plants are native. Assam in north-east India is one of them. We've been sourcing tea from gardens on the flood plains of the Brahmaputra River for generations and that ensures you learn a thing or two, like which leaves give the best flavour. That's how we know our Assam contains only the best. Our Assam leaves aren't picked until June because that's when they start making the best-tasting tea. Off-peak is just not the same.",4.8
2193,Nilgiri Oolong Tea - Wa,Beverages,Tea,Teamonk,637.5,1275.0,Exotic & Flavoured Tea,,"Harmony is not a matter of intensity, but of balance, order and rythm; our Wa Oolong stands a true testimony to the statement. Wa, the Zen word for Harmony is all about balance, balance between the weather and the wind, tea gardens and leaves, taste and aroma, black tea and green. Handpicked leaves from the estates in Nilgiris are allowed partial-oxidation and semi-fermentation to arrest the juice of the tea leaves. They are then extremely delicately hand-rolled which unfurl when the leaves are substracted to water.",
2209,Soft Drink,Beverages,Energy & Soft Drinks,Mountain Dew,145.8,180.0,Cold Drinks,4.3,"Mountain Dew exhilarates like no other because of its active, high-energy, extreme citrus taste. The idea of daring, challenges, a can-do attitude, adventure and exhilaration are deeply entrenched in its brand DNA. Mountain Dew has always celebrated the bold, adventurous and rebellious spirit of youth.",4.3
2229,Instant Drink Mix - Orange 500 gm + Lemon 500 gm,Beverages,Fruit Juices & Drinks,Tang,252.0,270.0,Syrups & Concentrates,,"Tang comes in refreshing Orange flavor. Keep everyone refreshed this summer with Tang and its great fruit taste with the goodness of vitamins A, B, C and Iron. A glass (approximately 180ml) of Tang gives your child 60% of Vitamin C required for the entire day. 
 Tang comes in refreshing Lemon flavor. Keep everyone refreshed this summer with Tang and its great fruit taste with the goodness of vitamins A, B, C and Iron. A glass (approximately 180ml) of Tang gives your child 60% of Vitamin C required for the entire day.",
2240,Fruit Power - Orange,Beverages,Fruit Juices & Drinks,Real,176.4,220.0,Juices,,"Real Orange packs all the fun, quality and the nutrition of oranges, sourced from the finest orchards from the across the world.",
2262,Nutritional Milk Powder - Vanilla,Beverages,"Health Drink, Supplement",Enfagrow A+,937.5,1250.0,Children (2-5 Yrs),4.3,"The 2-6 year period of your childs life is very important, as this is the time when the brain grows and develops rapidly. It is critical that your active child receives a steady source of energy and essential micro and macro nutrients to support his developing brain and overall performance, such as memory, attention, and problem solving. Intake of a well-balanced diet helps support your childs brain development, physical growth and improves his/her ability to fight off infection and disease. Right nutrition also helps your child achieve learning potential to the fullest.",4.3
2339,Juicy Mango Squash,Beverages,Fruit Juices & Drinks,Kissan,260.0,280.0,Juices,,"We make Kissan Juicy Mango squash with juicy and naturally ripened mangoes that are handpicked from the renowned farms of South India. With Kissan Juicy Mango squash you can enjoy a delightfully refreshing mango drink when you feel tired easily because all it takes is to pour, mix and drink! It is also a great refreshing drink that tastes just like mango juice which can be had on a hot summer day. You can quickly make about 5 litres or 25 glasses from one pack of Kissan Juicy Mango squash according to the per serving suggestion of 210 ml (180 ml of water and 30 ml of Kissan Juicy Mango Squash). Easily make your refreshing juicy mango drink by mixing one part of Kissan Juicy Mango squash with six parts of chilled water or soda or 2 capfuls or tablespoonful (30 ml) of Kissan Juicy Mango squash with one glass(180ml) of water or even chilled soda. Use Kissan Juicy Mango squash to make a refreshing iced tea or mocktails. Enjoy the taste of Mango juice in every sip! Kissan Juicy squash also comes in delightful Juicy Orange, Juicy Grape and Juicy Lemon flavours. Started in 1934, Kissan is a popular brand in India and a maker of jams, ketchup and sauces and peanut butter.",
2424,Calming Chamomile Loose Golden Chamomile Buds,Beverages,Tea,Isvaari,318.75,375.0,Exotic & Flavoured Tea,5.0,"Chamomile is very safe to drink, and many people enjoy drinking it for its delicious taste and comforting aroma. Chamomile tea is a great drink before bed! It relieves stress, is a soft natural tranquilizer and makes a perfect evening ritual. Chamomile not only stimulates weight loss but also reduces bloating to a great extent. Loaded with calcium, potassium and flavonoids, chamomile's ability to detox the body helps in getting rid of toxins and excess water.",5.0
2442,Apple Juice Based Drink,Beverages,Fruit Juices & Drinks,Appy Fizz,20.0,25.0,Juices,,"Appy Fizz consists of carbonated apple juice, and used as the source for cocktails and is a trendy drink with the early life. It has vitamin A. This infusion made with carbonated apple juice brings in the market the flavour of apples in this refreshingly new avatar.",
